Sample	gene_id	unstranded	stranded_r1	stranded_r2
iN_r1B6_rep1_hom_del_round1	 ENSG00000175161	2195	2192	598
iN_r1B6_rep2_hom_del_round1	 ENSG00000175161	2124	2113	489
iN_r1B6_rep3_hom_del_round1	 ENSG00000175161	2761	2748	665
iN_r1B6_rep4_hom_del_round1	 ENSG00000175161	1459	1449	400
iN_r2E9_rep1_hom_del_round2	 ENSG00000175161	1628	1621	464
iN_r2E9_rep2_hom_del_round2	 ENSG00000175161	2076	2062	606
iN_r2E9_rep3_hom_del_round2	 ENSG00000175161	1939	1933	547
iN_r2E9_rep4_hom_del_round2	 ENSG00000175161	1417	1414	395
iN_rA6_500bp_het_del	 ENSG00000175161	2795	2782	774
iN_rB10_rep1_500bp_inv	 ENSG00000175161	1682	1658	497
iN_rB10_rep2_500bp_inv	 ENSG00000175161	2671	2656	738
iN_rB9_500bp_het_del	 ENSG00000175161	1791	1785	521
iN_rC2_500bp_het_del	 ENSG00000175161	2436	2421	693
iN_rC5_rep1_500bp_inv	 ENSG00000175161	1712	1691	520
iN_rC5_rep2_500bp_inv	 ENSG00000175161	3179	3147	799
iN_rC8_500bp_het_del	 ENSG00000175161	2065	2061	617
iN_siA8_wt	 ENSG00000175161	1771	1762	553
iN_siB6_100kb_het_del	 ENSG00000175161	1751	1735	507
iN_siC1_100kb_het_del	 ENSG00000175161	3166	3146	857
iN_siF2_wt	 ENSG00000175161	2323	2318	560
iN_soC11_wt	 ENSG00000175161	2080	2069	601
iN_soD8_100kb_het_del	 ENSG00000175161	1524	1522	453
iN_soF3_wt	 ENSG00000175161	2250	2240	680
iN_soF6_100kb_het_del	 ENSG00000175161	2130	2120	644
iN_total_GM_Control_1_2	 ENSG00000175161	2417	9	2408
iN_total_GM_Control_1_3	 ENSG00000175161	2551	10	2541
iN_total_GM_Control_1_5	 ENSG00000175161	2962	3	2959
iN_total_GM_Control_1_6	 ENSG00000175161	2406	4	2402
