SampleNames	gene_id	unstranded	stranded_r1	stranded_r2		5.55296E-05			
iN_r1B6_rep1_hom_del_round1.count	 ENSG00000175161	2226	1	2225	1.994726749	35921.85986			
iN_r1B6_rep2_hom_del_round1.count	 ENSG00000175161	2177	4	2173	1.948108416	35082.33775		34641.58863	23603.48725
iN_r1B6_rep3_hom_del_round1.count	 ENSG00000175161	2837	9	2828	2.535320111	45657.0875			51937.35873
iN_r1B6_rep4_hom_del_round1.count	 ENSG00000175161	1493	3	1490	1.335794542	24055.53762			
iN_r2E9_rep1_hom_del_round2.count	 ENSG00000175161	1641	2	1639	1.469373996	26461.09138			
iN_r2E9_rep2_hom_del_round2.count	 ENSG00000175161	2123	9	2114	1.895214538	34129.80304			
iN_r2E9_rep3_hom_del_round2.count	 ENSG00000175161	1978	1	1977	1.772393161	31917.98515			
iN_r2E9_rep4_hom_del_round2.count	 ENSG00000175161	1464	2	1462	1.310692363	23603.48725			
iN_rA6_500bp_het_del.count	 ENSG00000175161	2842	6	2836	2.542492162	45786.24475			
iN_rB10_rep1_500bp_inv.count	 ENSG00000175161	1697	3	1694	1.518681849	27349.04747			
iN_rB10_rep2_500bp_inv.count	 ENSG00000175161	2738	4	2734	2.451048509	44139.48983			
iN_rB9_500bp_het_del.count	 ENSG00000175161	1848	3	1845	1.654054316	29786.89054			
iN_rC2_500bp_het_del.count	 ENSG00000175161	2470	9	2461	2.206302261	39731.99871			
iN_rC5_rep1_500bp_inv.count	 ENSG00000175161	1714	5	1709	1.532129445	27591.21731			
iN_rC5_rep2_500bp_inv.count	 ENSG00000175161	3219	4	3215	2.882268089	51905.06942			
iN_rC8_500bp_het_del.count	 ENSG00000175161	2101	2	2099	1.881766942	33887.63319			
iN_siA8_wt.count	 ENSG00000175161	1793	6	1787	1.602056944	28850.50048			
iN_siB6_100kb_het_del.count	 ENSG00000175161	1768	5	1763	1.580540791	28463.02874			
iN_siC1_100kb_het_del.count	 ENSG00000175161	3225	9	3217	2.884061102	51937.35873			
iN_siF2_wt.count	 ENSG00000175161	2365	1	2364	2.11934114	38165.96706			
iN_soC11_wt.count	 ENSG00000175161	2080	4	2076	1.861147295	33516.3061			
iN_soD8_100kb_het_del.count	 ENSG00000175161	1534	0	1534	1.375240824	24765.90249			
iN_soF3_wt.count	 ENSG00000175161	2242	4	2238	2.006381333	36131.74039			
iN_soF6_100kb_het_del.count	 ENSG00000175161	2153	3	2150	1.927488769	34711.01066			
iN_total_GM_Control_1_2.count	 ENSG00000175161	2417	9	2408	2.158787421	38876.33193			
iN_total_GM_Control_1_3.count	 ENSG00000175161	2551	10	2541	2.278022773	41023.5712			
iN_total_GM_Control_1_5.count	 ENSG00000175161	2962	3	2959	2.65276245	47772.03746			
iN_total_GM_Control_1_6.count	 ENSG00000175161	2406	4	2402	2.153408383	38779.464			
