baseMean log2FoldChange lfcSE stat pvalue padj
ENSG00000000003 76.733949587154 -0.158392404680469 0.185461787043293 -0.854043343405803 0.393080974190923 0.999951245800057
ENSG00000000419 107.076369060101 0.00977562601646373 0.168630622592996 0.0579706453439244 0.953772010813032 0.999951245800057
ENSG00000000457 284.930878737781 0.0866974934563105 0.134910831777967 0.642628114538609 0.520465435748772 0.999951245800057
ENSG00000000460 70.3996235914767 -0.00731906845076616 0.216342488717541 -0.033830933970266 0.973011968317156 0.999951245800057
ENSG00000001036 111.872085600744 -0.047915291450696 0.176494819796162 -0.271482707005421 0.786019798271547 0.999951245800057
ENSG00000001084 244.518421304691 -0.168349074533222 0.129442988516281 -1.30056541851278 0.193407250437264 0.999951245800057
ENSG00000001167 654.29572670478 0.0392655018606428 0.0853419746909408 0.460096007888729 0.645447309424239 0.999951245800057
ENSG00000001460 78.2574391646156 0.200677924600837 0.190108296502667 1.0555979317716 0.291151946227313 0.999951245800057
ENSG00000001461 356.550529076577 0.0656610905032974 0.101928852965348 0.644185513650584 0.519455143526608 0.999951245800057
ENSG00000001497 650.739522026759 0.0114718082108668 0.0933656622335345 0.122869671102129 0.902210302564353 0.999951245800057
ENSG00000001561 205.868431503081 0.0337665049974912 0.129420245088089 0.260905895940069 0.79416507798159 0.999951245800057
ENSG00000001617 440.260755589673 0.0661026017323697 0.10668961055139 0.619578620549277 0.535535245885135 0.999951245800057
ENSG00000001629 1684.41085506363 0.0351758217568089 0.0749831518693555 0.469116339869207 0.638986480158691 0.999951245800057
ENSG00000001630 283.835172968832 -0.0865212547025344 0.118182954417592 -0.732095885814608 0.46411004478743 0.999951245800057
ENSG00000001631 430.343840632394 -0.0243962442018696 0.112419128515333 -0.217011504394843 0.828199379366291 0.999951245800057
ENSG00000002016 185.41374761967 -0.00892051378100846 0.120289986502193 -0.0741584070328732 0.940884341059563 0.999951245800057
ENSG00000002330 363.127561807523 0.05669253346563 0.157283295010665 0.360448536265634 0.71851173572162 0.999951245800057
ENSG00000002549 172.00605785466 0.0150794529320189 0.135029284406943 0.111675426543574 0.911080764204178 0.999951245800057
ENSG00000002586 43.5436416961754 0.273586526837866 0.261566731325255 1.04595307458143 0.295582698183864 0.999951245800057
ENSG00000002587 119.246682388596 0.121203128115962 0.15402070808947 0.786927482800273 0.431324318262799 0.999951245800057
ENSG00000002746 3094.2166041601 -0.0113512486091391 0.0668173030249756 -0.169884866572601 0.865100682841582 0.999951245800057
ENSG00000002822 380.983568001374 -0.0259101319245278 0.0985862953910563 -0.262816772065038 0.792691807616945 0.999951245800057
ENSG00000002834 1906.89459625827 -0.0152821078046652 0.0965862911090379 -0.158222327715359 0.874281610385963 0.999951245800057
ENSG00000002919 274.847775408166 -0.14947136183091 0.106467892400183 -1.40391021613435 0.16034558711716 0.999951245800057
ENSG00000003056 325.076030826121 0.132579893113557 0.0997471764186802 1.32915935942953 0.18379539993779 0.999951245800057
ENSG00000003096 865.197757987835 -0.05499864211581 0.086774988311154 -0.633807542774863 0.526206430066194 0.999951245800057
ENSG00000003137 53.1772805034686 -0.0305906664023701 0.223303125266929 -0.136991662637068 0.891037385232371 0.999951245800057
ENSG00000003147 370.074751886718 -0.0769630349706886 0.0997421441797406 -0.77162001683057 0.440339515233782 0.999951245800057
ENSG00000003249 1228.01788093654 0.0903744546919119 0.106747305188189 0.846620479389029 0.397206695224754 0.999951245800057
ENSG00000003393 1088.71602866015 -0.0626694961793193 0.0706992446832233 -0.886423843141715 0.375389175661455 0.999951245800057
ENSG00000003402 894.312387958156 0.0107450477745075 0.0858005599143918 0.125232839799978 0.900339219488221 0.999951245800057
ENSG00000003509 264.932529251573 0.0645653887712236 0.11972661739352 0.539273472990626 0.589698169867882 0.999951245800057
ENSG00000003756 2442.04272323423 0.00359915712712955 0.0646706459670086 0.0556536442973778 0.955617728720637 0.999951245800057
ENSG00000003987 1248.11804191805 -0.0550570614570051 0.0847529982884514 -0.649617860947195 0.515939092967899 0.999951245800057
ENSG00000003989 17.0143474562923 0.0705147361477703 0.382140945022801 0.184525466496565 0.853601250790481 0.999951245800057
ENSG00000004059 838.995066784906 0.0351312801230878 0.107723916593634 0.326123308861978 0.744331062338874 0.999951245800057
ENSG00000004139 2414.83001128267 -0.0582561420804089 0.0752401111330918 -0.774269750577055 0.438771288056517 0.999951245800057
ENSG00000004142 702.95356687016 0.0922714952829869 0.0825078601312738 1.11833581838359 0.263423594589157 0.999951245800057
ENSG00000004399 98.7547764282279 -0.107663224709724 0.17090764197432 -0.629949740491423 0.528727467837272 0.999951245800057
ENSG00000004455 514.347197445476 0.0271071791069398 0.0851028429713134 0.318522603481968 0.750088551685885 0.999951245800057
ENSG00000004478 1275.42259840801 0.00775402234032529 0.101888322828418 0.0761031502440492 0.939337033879379 0.999951245800057
ENSG00000004487 2736.60837030304 0.0583093566201911 0.0598580683583241 0.974126934252839 0.329993517588571 0.999951245800057
ENSG00000004534 1323.50931525893 -0.0224536872904464 0.0714538707072716 -0.3142403213177 0.753338520589954 0.999951245800057
ENSG00000004660 390.107991670055 -0.0601952013793537 0.104419211624865 -0.576476305869942 0.564293280714283 0.999951245800057
ENSG00000004700 124.497066566929 -0.172495621756606 0.157399122248749 -1.09591222169586 0.27311719005443 0.999951245800057
ENSG00000004766 525.211230396755 -0.0645291229367911 0.0905331711365777 -0.712767730619343 0.475989496942711 0.999951245800057
ENSG00000004777 2634.36776817291 -0.0299149369803837 0.093683300405241 -0.319319845169654 0.749483985514026 0.999951245800057
ENSG00000004779 330.895354477572 -0.0322727454349896 0.100932343863928 -0.319746319163044 0.749160643919199 0.999951245800057
ENSG00000004838 23.4461131910353 -0.29940341060445 0.348192317026761 -0.859879428590146 0.389855509310696 0.999951245800057
ENSG00000004864 621.957262400428 0.0580416619091988 0.0842180472117061 0.689183183781198 0.490707997824833 0.999951245800057
ENSG00000004866 1040.3655284311 0.0723520578023621 0.0985578514251573 0.734107498856189 0.462883223589449 0.999951245800057
ENSG00000004897 1024.51905123861 -0.023882092081203 0.0918149987913168 -0.260111010135542 0.794778145306209 0.999951245800057
ENSG00000004961 140.062145553649 0.16787133519364 0.134840985139062 1.24495779247322 0.213147265447603 0.999951245800057
ENSG00000004975 437.660987740199 0.0181932862494446 0.0996319585116704 0.182604924375882 0.855108020221181 0.999951245800057
ENSG00000005007 979.897708028049 -0.0288227620182594 0.0957153156882954 -0.301130094081526 0.763315293685539 0.999951245800057
ENSG00000005020 118.267680248441 0.140653576582965 0.165948241483566 0.847574974736284 0.396674716165823 0.999951245800057
ENSG00000005022 888.376673790154 0.0618264134824783 0.0948149192127755 0.652074736716622 0.514352960599276 0.999951245800057
ENSG00000005075 101.497328529473 0.0583917142395917 0.190315785673175 0.306814876301782 0.758984284391983 0.999951245800057
ENSG00000005100 409.158167646984 -0.0500929446014257 0.107065871835187 -0.467870328264238 0.639877323517238 0.999951245800057
ENSG00000005108 4316.09418429596 0.0289250971431526 0.0745477317537494 0.38800774299478 0.698010303556444 0.999951245800057
ENSG00000005156 940.000834509203 0.0171125755139387 0.077314327691002 0.221337700591947 0.82482949702125 0.999951245800057
ENSG00000005175 447.851576759196 -0.0764120958061376 0.0978144794060994 -0.781194116352601 0.434688333669164 0.999951245800057
ENSG00000005189 45.8457726132291 -0.0634804325075124 0.24076303536854 -0.263663532943676 0.792039197902542 0.999951245800057
ENSG00000005194 621.87412645708 0.0141491376562798 0.091543088159557 0.154562599326104 0.877166157002667 0.999951245800057
ENSG00000005206 719.043310275962 -0.0749939602537209 0.0933980181204483 -0.802950231310121 0.422003501026414 0.999951245800057
ENSG00000005238 393.60102029125 -0.0309996549471265 0.113239250463675 -0.273753621824533 0.784273966903313 0.999951245800057
ENSG00000005249 2533.95484092496 0.025310983464638 0.0767042273579347 0.329981597318309 0.7414138672521 0.999951245800057
ENSG00000005302 335.724405154742 -0.0397114580427352 0.0974489926057931 -0.407510195650544 0.683633307357833 0.999951245800057
ENSG00000005339 3228.73131784699 0.0343774721742561 0.0635490620987184 0.540959552178023 0.588535462218136 0.999951245800057
ENSG00000005379 2912.88328584613 -0.0792496879653124 0.0797411539641411 -0.993836733300227 0.320302359487347 0.999951245800057
ENSG00000005436 109.137815914054 0.125815888548271 0.171766917694407 0.732480329955691 0.463875444254083 0.999951245800057
ENSG00000005448 211.4360725269 -0.0268675125366745 0.130040200869716 -0.206609282029582 0.836315010665015 0.999951245800057
ENSG00000005469 98.4978345379848 -0.184499954491437 0.195558721729635 -0.943450401289252 0.345450573468291 0.999951245800057
ENSG00000005483 2609.52108245786 0.0193191347748765 0.0628191312719892 0.30753584749891 0.758435541800138 0.999951245800057
ENSG00000005486 1369.41093208901 0.0413699278530012 0.0975889968134492 0.423920003318446 0.671624155319085 0.999951245800057
ENSG00000005513 167.065726623504 -0.269156360423477 0.156829488819409 -1.71623565472062 0.0861189198681884 0.999951245800057
ENSG00000005700 896.985832200418 -0.0109299121048749 0.0811675875857085 -0.134658580228635 0.892881823018872 0.999951245800057
ENSG00000005801 865.049514791139 -0.0542294033961091 0.0975901224839454 -0.555685370771314 0.57842595906512 0.999951245800057
ENSG00000005810 12735.6523581573 -0.0445313340660682 0.0729496595581678 -0.610439230776126 0.541570887188278 0.999951245800057
ENSG00000005812 392.698928795507 -0.0674160274640362 0.0916983725965231 -0.735193281571852 0.462221790102518 0.999951245800057
ENSG00000005882 114.160455130856 0.00941285807558578 0.181704558949984 0.0518030925034565 0.958685591400624 0.999951245800057
ENSG00000005884 1122.21535160765 0.0678808940535201 0.103396365760079 0.65651141173599 0.511495127468191 0.999951245800057
ENSG00000005889 1036.88700953853 -0.0195996894118716 0.0886911524802181 -0.220988101561125 0.825101697540995 0.999951245800057
ENSG00000005893 615.385528243913 -0.0465983844931001 0.100014932106807 -0.465914274113959 0.641276863456288 0.999951245800057
ENSG00000005961 119.667373715731 0.00680814782631725 0.182251140534182 0.0373558585497046 0.97020126785941 0.999951245800057
ENSG00000006007 633.012805077304 0.0173240546378315 0.0849119597505671 0.204023728679938 0.838334956089924 0.999951245800057
ENSG00000006015 338.934128610994 0.0403278426650136 0.118034961410354 0.341660150375378 0.732606664657578 0.999951245800057
ENSG00000006016 84.3558520428572 -0.403853445167148 0.253802229441604 -1.59121315071059 0.111561614294228 0.999951245800057
ENSG00000006025 254.97584146778 -0.030488877619438 0.126630176733594 -0.240771026353227 0.809732586713222 0.999951245800057
ENSG00000006042 185.72310955808 0.130463490451046 0.131853798172441 0.989455686975529 0.322440240406591 0.999951245800057
ENSG00000006047 33.6483054382229 -0.297689764230792 0.279104777488859 -1.0665878488686 0.28615798990913 0.999951245800057
ENSG00000006062 216.9881971201 0.0306524134127491 0.14704819687874 0.208451474165481 0.834876468343988 0.999951245800057
ENSG00000006071 604.371540986688 -0.135713169461999 0.0933481801818713 -1.45383840582203 0.14599111282911 0.999951245800057
ENSG00000006116 68.2236476720469 0.09695507098999 0.252833299972132 0.38347429314365 0.701368127264286 0.999951245800057
ENSG00000006118 5178.13986587994 0.00195791305150053 0.0807224556250347 0.0242548747599462 0.980649307255468 0.999951245800057
ENSG00000006125 10843.0526865961 -0.0029887465505138 0.0587658183903656 -0.0508585880768367 0.959438204705359 0.999951245800057
ENSG00000006128 551.74335217602 0.0573302875655538 0.39148199311541 0.146444251775976 0.883570695970057 0.999951245800057
ENSG00000006194 354.833510597295 0.10546044500508 0.0974805272521997 1.08186165973677 0.27931400339042 0.999951245800057
ENSG00000006210 13.765680144573 0.224472603272157 0.455429557983544 0.492881059951466 0.622096630716007 0.999951245800057
ENSG00000006282 317.834166921169 0.0272785756063343 0.148864487114155 0.183244346150979 0.854606300213052 0.999951245800057
ENSG00000006283 50.1912812055001 -0.0195333278671902 0.240339012307684 -0.0812740623323501 0.935224000996266 0.999951245800057
ENSG00000006432 2493.53199512052 -0.0232582493056284 0.0679302558199033 -0.342384244323924 0.732061744009897 0.999951245800057
ENSG00000006451 874.759795256448 0.0559529118128826 0.0869672761574598 0.643378915439139 0.519978261247579 0.999951245800057
ENSG00000006453 14.2223032651368 0.101544599381971 0.40218443463373 0.252482668739896 0.800668008610845 0.999951245800057
ENSG00000006459 439.736941701836 0.0864468113698082 0.103048069719569 0.83889792021395 0.401526594998103 0.999951245800057
ENSG00000006468 530.898575336062 0.161666876036805 0.135878674230136 1.18978844143704 0.234129553701988 0.999951245800057
ENSG00000006530 480.067947758003 0.0606938824273551 0.0887517398075768 0.683861325523825 0.494062737449457 0.999951245800057
ENSG00000006576 499.774335476458 0.0633265262704818 0.106805882489941 0.592912345220743 0.55323981566991 0.999951245800057
ENSG00000006607 530.037058756452 -0.0232261020802088 0.0952441180867488 -0.243858650242888 0.807340294813311 0.999951245800057
ENSG00000006611 14.1837116727836 -0.356890395522093 0.40646340823152 -0.878038190632919 0.379922993729446 0.999951245800057
ENSG00000006625 60.2386635750606 0.19526707317575 0.194080552019157 1.00611354998865 0.314360951341606 0.999951245800057
ENSG00000006634 72.7113551441649 0.085058393543472 0.182789092894877 0.465336263758306 0.641690669336623 0.999951245800057
ENSG00000006652 779.298951126551 0.0135512691780815 0.0789685355055714 0.171603399902553 0.863749334371987 0.999951245800057
ENSG00000006695 265.019526715044 0.111573352333543 0.104033165793632 1.07247868006697 0.283505084921073 0.999951245800057
ENSG00000006704 963.663487819314 0.0154842443803077 0.101229221988353 0.152962198821298 0.878428085392232 0.999951245800057
ENSG00000006712 356.181178355101 0.146136276938816 0.105768080187947 1.38166710295899 0.167073939770166 0.999951245800057
ENSG00000006715 1329.40587061295 0.0682140367840268 0.0770598842275112 0.88520813997893 0.376044382894431 0.999951245800057
ENSG00000006740 522.834214016991 -0.0702760869308328 0.091269290194296 -0.769986123275722 0.441308124256551 0.999951245800057
ENSG00000006744 660.270665812405 0.0170308198215047 0.0920263639604358 0.18506457376526 0.853178387641721 0.999951245800057
ENSG00000006756 800.758738219046 0.146764511610286 0.0802711396536118 1.82835963515167 0.0674955951559362 0.999951245800057
ENSG00000006757 189.57762822238 0.0733216465102745 0.119056903232811 0.615853802000017 0.537991014442017 0.999951245800057
ENSG00000006831 655.673564311922 -0.0133474917099866 0.0895227665781306 -0.149096059250332 0.881477835398671 0.999951245800057
ENSG00000006837 30.6175396667356 -0.431078841693824 0.282453299277372 -1.52619510126699 0.126961283105451 0.999951245800057
ENSG00000007001 16.181024509827 0.241565868045366 0.411155991846705 0.587528511892467 0.556848807342326 0.999951245800057
ENSG00000007047 1401.09129929398 0.0239610548083975 0.0816467203047681 0.293472349152012 0.769161131694267 0.999951245800057
ENSG00000007062 26.2932820631245 -0.10777114285992 0.353686829045197 -0.304707820618754 0.760588692712024 0.999951245800057
ENSG00000007080 413.018704460279 -0.0103023238413261 0.148854119662852 -0.0692108748126046 0.944821767017779 0.999951245800057
ENSG00000007168 7100.23217210665 -0.0138943690518703 0.0751529325743887 -0.184881262459282 0.853322168020633 0.999951245800057
ENSG00000007171 23.6400194828061 -0.560334993789094 0.375309372888256 -1.49299493768819 0.135438512032011 0.999951245800057
ENSG00000007174 181.452172678612 -0.0628351935329278 0.142444363510718 -0.441120954064286 0.659125434537664 0.999951245800057
ENSG00000007202 2911.97662291609 -0.041888309947126 0.0605582131990329 -0.691703201503888 0.489123736049299 0.999951245800057
ENSG00000007237 249.201883705565 -0.116405148489922 0.122248445084605 -0.95220146488866 0.340994818238865 0.999951245800057
ENSG00000007255 73.4361349625601 -0.0201123038804523 0.218992577337105 -0.0918401167976231 0.926825070136872 0.999951245800057
ENSG00000007264 67.8283679008983 -0.0239880209252264 0.19857630432576 -0.120800016933917 0.903849436692455 0.999951245800057
ENSG00000007314 19.2107399922868 -0.0545184063692989 0.383990277601603 -0.141978611307088 0.887096900227894 0.999951245800057
ENSG00000007341 315.921147228043 -0.116504728689256 0.122215495270397 -0.953272974359701 0.340451780840026 0.999951245800057
ENSG00000007376 206.523194255908 -0.00122957198487634 0.139170289798022 -0.00883501778045308 0.992950767426302 0.999951245800057
ENSG00000007384 33.1865174102978 0.291765715623972 0.264615995202534 1.1026004508936 0.270200714356793 0.999951245800057
ENSG00000007392 1350.3187888754 0.0744262820258201 0.0691573384098093 1.07618777323078 0.281843286817098 0.999951245800057
ENSG00000007402 1240.37195120337 -0.0149345930734804 0.102462375864764 -0.145756849257447 0.884113341317407 0.999951245800057
ENSG00000007516 1071.12285109592 -0.0153346847929243 0.144508030107027 -0.106116489039169 0.91548992865207 0.999951245800057
