exon	pvalues	genotype
Alt Exon 1	0.597437447	HET 500bp INV
RE2	0.153233354	HET 500bp INV
RE1	0.049931718	HET 500bp INV
Exon 1	0.727969192	HET 500bp INV
Exon 2	0.23126323	HET 500bp INV
Exon 10	0.394952961	HET 500bp INV
Exon 11	0.135550061	HET 500bp INV
Exon 3	0.406502864	HET 500bp INV
Exon 4	0.357052664	HET 500bp INV
Exon 5	0.282496488	HET 500bp INV
Exon 6	0.200574877	HET 500bp INV
Exon 7	0.153774804	HET 500bp INV
Exon 8	0.257658462	HET 500bp INV
Exon 9	0.524381149	HET 500bp INV
Alt Exon 1	0.509594526	HET 500bp DEL
RE2	0.392676141	HET 500bp DEL
RE1	0.039395614	HET 500bp DEL
Exon 1	0.221616983	HET 500bp DEL
Exon 2	0.145023843	HET 500bp DEL
Exon 10	0.37758942	HET 500bp DEL
Exon 11	0.390694491	HET 500bp DEL
Exon 3	0.623409764	HET 500bp DEL
Exon 4	0.690432003	HET 500bp DEL
Exon 5	0.335086684	HET 500bp DEL
Exon 6	0.389922907	HET 500bp DEL
Exon 7	0.961435443	HET 500bp DEL
Exon 8	0.941646117	HET 500bp DEL
Exon 9	0.54596414	HET 500bp DEL
Alt Exon 1	0.35594651	HET 100kb DEL
RE2	0.534290419	HET 100kb DEL
RE1	0.241881614	HET 100kb DEL
Exon 1	0.428927482	HET 100kb DEL
Exon 2	0.159026108	HET 100kb DEL
Exon 10	0.217114149	HET 100kb DEL
Exon 11	0.11707808	HET 100kb DEL
Exon 3	0.381997706	HET 100kb DEL
Exon 4	0.762161676	HET 100kb DEL
Exon 5	0.423688794	HET 100kb DEL
Exon 6	0.921589596	HET 100kb DEL
Exon 7	0.887946103	HET 100kb DEL
Exon 8	0.79735601	HET 100kb DEL
Exon 9	0.84280559	HET 100kb DEL
Alt Exon 1	0.046156094	HOM 500bp DEL
RE2	0.056944936	HOM 500bp DEL
RE1	0.008493417	HOM 500bp DEL
Exon 1	0.304684348	HOM 500bp DEL
Exon 2	0.643448647	HOM 500bp DEL
Exon 10	0.087745895	HOM 500bp DEL
Exon 11	0.013938933	HOM 500bp DEL
Exon 3	0.146332944	HOM 500bp DEL
Exon 4	0.024772837	HOM 500bp DEL
Exon 5	0.032960153	HOM 500bp DEL
Exon 6	0.006826584	HOM 500bp DEL
Exon 7	0.007460896	HOM 500bp DEL
Exon 8	0.011788916	HOM 500bp DEL
Exon 9	0.008916397	HOM 500bp DEL
Alt Exon 1	0.387006115	HET
RE2	0.292493127	HET
RE1	0.028939954	HET
Exon 1	0.753174245	HET
Exon 2	0.172220006	HET
Exon 10	0.286418709	HET
Exon 11	0.159677391	HET
Exon 3	0.840305017	HET
Exon 4	0.550312927	HET
Exon 5	0.258932693	HET
Exon 6	0.447341771	HET
Exon 7	0.562441101	HET
Exon 8	0.576053918	HET
Exon 9	0.956213439	HET
